SCAN,AK,Aniak,2065,2002-July,61.58,-159.58,80,Bethel,Aniak Slough-Kuskokwim River,1.90305E+11
SCAN,AK,Canyon Lake,1232,2014-August,59.42,-161.16,550,Bethel,Canyon Creek,1.90305E+11
SCAN,AK,Checkers Creek,2213,2014-September,65.4,-164.71,326,Nome,Quartz Creek,1.90501E+11
SCAN,AK,Gulkana River,2222,2018-June,62.41,-145.38,1830,Valdez-cordova,Boulder Lake-Gulkana River,1.90201E+11
SCAN,AK,Hozatka Lake,2210,2014-August,65.2,-156.63,206,Yukon-koyukuk,Hozatka Lake,1.90901E+11
SCAN,AK,Innoko Camp,2211,2014-August,63.64,-158.03,83,Yukon-koyukuk,190903031103-Innoko River,1.90903E+11
SCAN,AK,Kanaryagak Camp,2208,2013-August,61.36,-165.12,13,Kusilvak,Kuyungslik River,1.90903E+11
SCAN,AK,Kanuti Lake,2212,2014-August,66.18,-151.74,524,Yukon-koyukuk,Old Dummy Lake-Kanuti River,1.90901E+11
SCAN,AK,Lower Mulchatna,1233,2012-September,59.82,-156.99,320,Dillingham,190303021706-Mulchatna River,1.90303E+11
SCAN,AK,Moose Inc,2062,2002-May,59.68,-151.37,132,Kenai Cook Inlet,Fritz Creek,1.90203E+11
SCAN,AK,Naknek River,2209,2013-October,58.67,-156.57,100,Bristol Bay,Town of King Salmon-Naknek River,1.90302E+11
SCAN,AK,Nenana,2081,2002-October,64.69,-148.91,415,Yukon-koyukuk,Little Goldstream Creek,1.90803E+11
SCAN,AK,Schor Garden,2063,2002-May,59.68,-151.38,393,Kenai Peninsula,Swift Creek-Frontal Kachemak Bay,1.90203E+11
SCAN,AK,Spring Creek,2044,2018-June,61.66,-149.13,580,Matanuska-susitna,Outlet Matanuska River,1.90204E+11
SCAN,AK,Tok,2080,2002-October,63.35,-142.98,1630,Southeast Fairbanks,Tanacross,1.90803E+11
SCAN,AK,Unalakleet,2221,2015-August,63.91,-160.75,290,Nome,Outlet Unalakleet River,1.90501E+11
SCAN,AK,Weary Lake,1234,2012-September,59.13,-159.09,100,Dillingham,Middle Weary River,1.90303E+11
SCAN,AL,AAMU-JTG,2057,2002-February,34.78,-86.55,860,Madison,Acuff Spring-Flint River,60300020403
SCAN,AL,Bragg Farm,2078,2003-August,34.89,-86.6,798,Madison,Lower Brier Fork,60300020306
SCAN,AL,Broad Acres,2177,2010-April,32.28,-86.05,269,Montgomery,Johnsons Creek,31501100803
SCAN,AL,Cullman-NAHRC,2113,2006-May,34.19,-86.8,799,Cullman,Eightmile Creek,31601090104
SCAN,AL,Dee River Ranch,2174,2010-April,33.11,-88.31,160,Pickens,Dinsmore-Bogue Chitto,31601060504
SCAN,AL,Hodges,2055,2002-February,34.44,-86.17,730,Marshall,Minky Creek-Town Creek,60300010705
